EXID,Preferred name,Degree,Group name,ID,Synonyms
REACT:R76009,platelet aggregation (plug formation),9,Pathway,REACT:R76009,platelet aggregation (plug formation)
REACT:R418360,platelet calcium homeostasis,7,Pathway,REACT:R418360,platelet calcium homeostasis
REACT:R114608,platelet degranulation,17,Pathway,REACT:R114608,platelet degranulation
REACT:R418346,platelet homeostasis,10,Pathway,REACT:R418346,platelet homeostasis
KEGG:hsa01524,platinum drug resistance,26,Pathway,KEGG:hsa01524,platinum drug resistance
REACT:R112043,plc beta mediated events,12,Pathway,REACT:R112043,plc beta mediated events
REACT:R167021,plc-gamma1 signalling,11,Pathway,REACT:R167021,plc-gamma1 signalling
KEGG:hsa00860,porphyrin metabolism,8,Pathway,KEGG:hsa00860,porphyrin metabolism
REACT:R5250913,positive epigenetic regulation of rrna expression,6,Pathway,REACT:R5250913,positive epigenetic regulation of rrna expression
REACT:R597592,post-translational protein modification,14,Pathway,REACT:R597592,post-translational protein modification
REACT:R1296071,potassium channels,7,Pathway,REACT:R1296071,potassium channels
REACT:R1989781,ppara activates gene expression,19,Pathway,REACT:R1989781,ppara activates gene expression
KEGG:hsa03320,ppar signaling pathway,18,Pathway,KEGG:hsa03320,ppar signaling pathway
REACT:R1912422,pre-notch expression and processing,10,Pathway,REACT:R1912422,pre-notch expression and processing
REACT:R1912408,pre-notch transcription and translation,11,Pathway,REACT:R1912408,pre-notch transcription and translation
REACT:R500657,presynaptic function of kainate receptors,4,Pathway,REACT:R500657,presynaptic function of kainate receptors
KEGG:hsa05340,primary immunodeficiency,3,Pathway,KEGG:hsa05340,primary immunodeficiency
KEGG:hsa05020,prion disease,25,Pathway,KEGG:hsa05020,prion disease
KEGG:hsa04914,progesterone-mediated oocyte maturation,19,Pathway,KEGG:hsa04914,progesterone-mediated oocyte maturation
REACT:R5357801,programmed cell death,24,Pathway,REACT:R5357801,programmed cell death
KEGG:hsa04917,prolactin signaling pathway,23,Pathway,KEGG:hsa04917,prolactin signaling pathway
REACT:R169893,prolonged erk activation events,15,Pathway,REACT:R169893,prolonged erk activation events
REACT:R392851,prostacyclin signalling through prostacyclin receptor,4,Pathway,REACT:R392851,prostacyclin signalling through prostacyclin receptor
KEGG:hsa05215,prostate cancer,23,Pathway,KEGG:hsa05215,prostate cancer
KEGG:hsa04974,protein digestion and absorption,12,Pathway,KEGG:hsa04974,protein digestion and absorption
REACT:R391251,protein folding,12,Pathway,REACT:R391251,protein folding
